Tm,Lg,MarketSize2012,Salary,tmW-L%,TB/G,RC/G,BAbip,BA,OBP,SLG,OPS,OPS+,RA9,ERA+,hWAR,pWAR
ANA,AL,Big,AboveAvg,0.523,14.23,4.8,0.297,0.264,0.328,0.416,0.743,99,4.56,102,535.9,337.3
ARI,NL,Medium,BelowAvg,0.486,14.21,4.8,0.297,0.256,0.325,0.416,0.74,91,4.65,103,381.9,310.9
ATL,NL,Medium,AboveAvg,0.547,14.26,4.9,0.3,0.261,0.331,0.418,0.749,97,4.22,109,521.3,359
BAL,AL,Small,BelowAvg,0.446,14.42,4.7,0.293,0.261,0.323,0.419,0.742,97,5.12,92,443.2,238.3
BOS,AL,Big,AboveAvg,0.553,15.44,5.5,0.308,0.272,0.343,0.444,0.787,105,4.59,109,643.2,429.4
CHC,NL,Big,AboveAvg,0.498,14.21,4.8,0.297,0.255,0.326,0.417,0.743,94,4.52,103,407,342.2
CHW,AL,Medium,BelowAvg,0.497,14.48,4.8,0.295,0.261,0.325,0.424,0.75,98,4.78,102,421,389.1
CIN,NL,Small,BelowAvg,0.479,14.13,4.8,0.295,0.255,0.326,0.415,0.742,93,4.77,98,392.6,249.9
CLE,AL,Small,BelowAvg,0.521,14.54,5,0.3,0.262,0.334,0.425,0.759,102,4.61,103,553.2,362.7
COL,NL,Medium,BelowAvg,0.467,15.1,5.3,0.314,0.271,0.336,0.439,0.775,92,5.27,100,381.1,300.9
DET,AL,Medium,AboveAvg,0.462,14.48,4.8,0.304,0.264,0.325,0.421,0.746,99,4.99,96,424.8,278.6
FLA,NL,Medium,BelowAvg,0.458,13.56,4.5,0.302,0.256,0.321,0.399,0.72,92,4.72,95,333.7,238.1
HOU,Both,Medium,BelowAvg,0.514,14.32,4.9,0.297,0.26,0.33,0.421,0.751,98,4.46,103,489.3,332.5
KCR,AL,Small,BelowAvg,0.44,13.86,4.5,0.301,0.264,0.322,0.403,0.725,91,5.11,96,337.3,280.3
LAD,NL,Big,AboveAvg,0.552,13.98,4.8,0.294,0.258,0.329,0.412,0.741,98,4.04,109,516.4,403.5
MIL,NL,Small,BelowAvg,0.485,14.09,4.8,0.297,0.254,0.325,0.416,0.741,95,4.69,99,403.2,234.6
MIN,AL,Medium,BelowAvg,0.494,14.17,4.7,0.301,0.263,0.328,0.412,0.741,97,4.78,99,428.3,353.7
NYM,NL,Big,AboveAvg,0.501,13.75,4.7,0.293,0.254,0.325,0.405,0.731,96,4.4,100,420.2,328.2
NYY,AL,Big,AboveAvg,0.588,15.16,5.4,0.298,0.267,0.343,0.442,0.785,108,4.45,107,620.4,490.1
OAK,AL,Small,BelowAvg,0.532,14.07,4.7,0.287,0.253,0.329,0.412,0.741,100,4.39,106,514.5,429.1
PHI,NL,Big,AboveAvg,0.502,14.14,4.9,0.296,0.256,0.328,0.413,0.741,95,4.63,99,440.3,284
PIT,NL,Small,BelowAvg,0.45,13.45,4.5,0.297,0.254,0.32,0.396,0.716,90,4.78,96,289.5,227.8
SDP,NL,Small,BelowAvg,0.474,13.18,4.4,0.292,0.248,0.319,0.391,0.709,94,4.53,94,411.3,203.7
SEA,AL,Small,AboveAvg,0.493,13.94,4.6,0.295,0.257,0.323,0.407,0.73,98,4.63,98,494.9,304
SFG,NL,Medium,AboveAvg,0.525,13.97,4.7,0.297,0.26,0.328,0.409,0.737,97,4.3,102,458.3,330.8
STL,NL,Medium,AboveAvg,0.553,14.37,5,0.3,0.264,0.335,0.422,0.757,101,4.3,105,589,293.2
TBD,AL,Small,BelowAvg,0.483,13.95,4.6,0.298,0.255,0.325,0.41,0.734,98,4.68,100,513.5,290.1
TEX,AL,Big,AboveAvg,0.497,15.06,5.1,0.301,0.266,0.331,0.437,0.768,99,5.13,98,494.2,309.8
TOR,AL,Medium,BelowAvg,0.5,14.82,4.9,0.292,0.26,0.328,0.432,0.76,100,4.74,102,542.4,335.6
WSN,NL,Big,AboveAvg,0.479,13.83,4.7,0.296,0.256,0.325,0.409,0.734,93,4.6,101,346.7,316.8
